3,4;0;
4,5;1;
5,6;2;
0,7;0;
0,1,8;0,1;
1,2,9;1,2;
2,10;2;
3,11,12;0,11;
4,12,13;0,1,12;
5,13,14;1,2,13;
6,14,15;2,3;
7,16;11;
7,8,17;0,11,12;
8,9,18;1,12,13;
9,10,19;2,13,3;
10,20;3;
11,21,22;11,10;
12,22,23;11,12,17;
13,23,24;12,13,18;
14,24,25;13,3,14;
15,25,26;3,4;
16,27;11,10;
16,17,28;11,10,17;
17,18,29;12,17,18;
18,19,30;13,18,14;
19,20,31;3,14,4;
20,32;4;
21,33;10;
22,33,34;10,17,9;
23,34,35;17,18,16;
24,35,36;18,14,15;
25,36,37;14,4,5;
26,37;4;
27,28,38;10,9;
28,29,39;17,9,16;
29,30,40;18,16,15;
30,31,41;14,15,5;
31,32,42;4,5;
33,43;9;
34,43,44;9,16,8;
35,44,45;16,15,7;
36,45,46;15,5,6;
37,46;5;
38,39,47;9,8;
39,40,48;16,8,7;
40,41,49;15,7,6;
41,42,50;5,6;
43,51;8;
44,51,52;8,7;
45,52,53;7,6;
46,53;6;
47,48;8;
48,49;7;
49,50;6;
